# frame +z -z 
0 0 0 
1 0 0 
2 0 0 
3 0 0 
4 0 0 
5 0 0 
6 0 0 
7 0 0 
8 0 0 
9 0 0 
10 0 0 
11 1 0 
12 2 0 
13 2 0 
14 2 0 
15 2 0 
16 2 0 
17 2 0 
18 2 0 
19 2 0 
20 2 0 
21 2 0 
22 2 0 
23 2 0 
24 2 0 
25 2 0 
26 2 0 
27 3 0 
28 3 0 
29 3 0 
30 3 0 
31 3 0 
32 3 0 
33 4 0 
34 4 0 
35 4 0 
36 4 0 
37 4 0 
38 5 0 
39 5 0 
40 5 0 
41 6 0 
42 6 0 
43 7 0 
44 7 0 
45 9 0 
46 9 0 
47 9 0 
48 10 0 
49 10 0 
50 10 0 
51 10 0 
52 10 0 
53 10 0 
54 10 0 
55 10 0 
56 10 0 
57 11 0 
58 12 0 
59 12 0 
60 12 0 
61 12 0 
62 12 0 
63 12 0 
64 12 0 
65 12 0 
66 12 0 
67 12 0 
68 13 0 
69 13 0 
70 13 0 
71 13 0 
72 13 0 
73 13 0 
74 13 0 
75 13 0 
76 13 0 
77 13 0 
78 13 0 
79 14 0 
80 14 0 
81 14 0 
82 14 0 
83 15 0 
84 16 0 
85 16 0 
86 16 0 
87 17 0 
88 17 0 
89 18 0 
90 18 0 
91 18 0 
92 19 0 
93 19 0 
94 20 0 
95 20 0 
96 20 0 
97 21 0 
98 21 0 
99 21 0 
100 21 0 
101 21 0 
102 22 0 
103 22 0 
104 22 0 
105 22 0 
106 22 0 
107 22 0 
108 22 0 
109 22 0 
110 22 0 
111 22 0 
112 22 0 
113 22 0 
114 22 0 
115 22 0 
116 22 0 
117 22 0 
118 23 0 
119 24 0 
120 24 0 
121 24 0 
122 25 0 
123 25 0 
124 26 0 
125 26 0 
126 26 0 
127 26 0 
128 26 0 
129 26 0 
130 26 0 
131 26 0 
132 26 0 
133 26 0 
134 26 0 
135 26 0 
136 26 0 
137 26 0 
138 26 0 
139 26 0 
140 26 0 
141 26 0 
142 26 0 
143 26 0 
144 26 0 
145 27 0 
146 27 0 
147 27 0 
148 27 0 
149 27 0 
150 27 0 
151 27 0 
152 27 0 
153 27 0 
154 27 0 
155 27 0 
156 28 0 
157 29 0 
158 30 0 
159 30 0 
160 30 0 
161 31 0 
162 31 0 
163 31 0 
164 31 0 
165 31 0 
166 31 0 
167 32 0 
168 32 0 
169 32 0 
170 32 0 
171 32 0 
172 32 0 
173 32 0 
174 32 0 
175 32 0 
176 32 0 
177 32 0 
178 32 0 
179 32 0 
180 32 0 
181 32 0 
182 32 0 
183 33 0 
184 33 0 
185 33 0 
186 33 0 
187 33 0 
188 33 0 
189 33 0 
190 33 0 
191 33 0 
192 33 0 
193 33 0 
194 34 0 
195 34 0 
196 35 0 
197 35 0 
198 36 0 
199 36 0 
200 36 0 
201 36 0 
202 36 0 
203 36 0 
204 36 0 
205 36 0 
206 36 0 
207 36 0 
208 37 0 
209 37 0 
210 37 0 
211 37 0 
212 37 0 
213 37 0 
214 37 0 
215 37 0 
216 37 0 
217 37 0 
218 37 0 
219 38 0 
220 38 0 
221 38 0 
222 38 0 
223 38 0 
224 38 0 
225 38 0 
226 38 0 
227 38 0 
228 38 0 
229 38 0 
230 38 0 
231 38 0 
232 38 0 
233 38 0 
234 38 0 
235 38 0 
236 38 0 
237 39 0 
238 39 0 
239 40 0 
240 40 0 
241 40 0 
242 41 0 
243 41 0 
244 41 0 
245 41 0 
246 41 0 
247 41 0 
248 41 0 
249 41 0 
250 41 0 
251 41 0 
252 42 0 
253 42 0 
254 42 0 
255 43 0 
256 43 0 
257 43 0 
258 44 0 
259 45 0 
260 45 0 
261 45 0 
262 46 0 
263 46 0 
264 46 0 
265 46 0 
266 46 0 
267 46 0 
268 46 0 
269 46 0 
270 47 0 
271 47 0 
272 47 0 
273 47 0 
274 48 0 
275 48 0 
276 49 0 
277 49 0 
278 49 0 
279 49 0 
280 49 0 
281 49 0 
282 49 0 
283 49 0 
284 49 0 
285 49 0 
286 50 0 
287 50 0 
288 50 0 
289 50 0 
290 51 0 
291 51 0 
292 51 0 
293 51 0 
294 51 0 
295 51 0 
296 51 0 
297 51 0 
298 51 0 
299 52 0 
300 52 0 
301 52 0 
302 52 0 
303 53 0 
304 53 0 
305 53 0 
306 54 0 
307 54 0 
308 55 0 
309 55 0 
310 55 0 
311 55 0 
312 55 0 
313 55 0 
314 55 0 
315 55 0 
316 55 0 
317 56 0 
318 56 0 
319 56 0 
320 56 0 
321 56 0 
322 57 0 
323 57 0 
324 57 0 
325 58 0 
326 58 0 
327 58 0 
328 59 0 
329 59 0 
330 59 0 
331 59 0 
332 59 0 
333 59 0 
334 59 0 
335 59 0 
336 59 0 
337 59 0 
338 59 0 
339 59 0 
340 59 0 
341 59 0 
342 59 0 
343 59 0 
344 59 0 
345 59 0 
346 60 0 
347 60 0 
348 61 0 
349 61 0 
350 61 0 
351 62 0 
352 62 0 
353 62 0 
354 62 0 
355 62 0 
356 63 0 
357 63 0 
358 63 0 
359 63 0 
360 63 0 
361 63 0 
362 63 0 
363 63 0 
364 63 0 
365 63 0 
366 64 0 
367 64 0 
368 65 0 
369 65 0 
370 65 0 
371 65 0 
372 65 0 
373 65 0 
374 65 0 
375 65 0 
376 65 0 
377 66 0 
378 66 0 
379 66 0 
380 67 0 
381 67 0 
382 68 0 
383 68 0 
384 68 0 
385 68 0 
386 68 0 
387 68 0 
388 68 0 
389 68 0 
390 68 0 
391 68 0 
392 70 0 
393 70 0 
394 70 0 
395 71 0 
396 71 0 
397 71 0 
398 71 0 
399 71 0 
400 71 0 
401 71 0 
402 71 0 
403 73 0 
404 73 0 
405 73 0 
406 73 0 
407 73 0 
408 73 0 
409 73 0 
410 73 0 
411 73 0 
412 73 0 
413 73 0 
414 73 0 
415 73 0 
416 73 0 
417 74 0 
418 75 0 
419 75 0 
420 75 0 
421 75 0 
422 75 0 
423 75 0 
424 75 0 
425 75 0 
426 75 0 
427 75 0 
428 75 0 
429 75 0 
430 75 0 
431 76 0 
432 76 0 
433 77 0 
434 77 0 
435 77 0 
436 77 0 
437 77 0 
438 77 0 
439 77 0 
440 77 0 
441 78 0 
442 78 0 
443 78 0 
444 78 0 
445 78 0 
446 78 0 
447 78 0 
448 78 0 
449 78 0 
450 78 0 
451 78 0 
452 78 0 
453 78 0 
454 78 0 
455 78 0 
456 78 0 
457 78 0 
458 78 0 
459 78 0 
460 78 0 
461 78 0 
462 78 0 
463 78 0 
464 78 0 
465 78 0 
466 78 0 
467 79 0 
468 79 0 
469 79 0 
470 79 0 
471 79 0 
472 79 0 
473 79 0 
474 79 0 
475 80 0 
476 80 0 
477 80 0 
478 80 0 
479 80 0 
480 80 0 
481 81 0 
482 81 0 
483 81 0 
484 81 0 
485 81 0 
486 81 0 
487 81 0 
488 81 0 
489 81 0 
